tripduration,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender
882,2017-06-11 17:33:56.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3102,Driggs Ave & Lorimer St,4.072.179.134,-739.504.154,19379,Customer,,unknown
1672,2016-05-30 22:02:04.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3112,Milton St & Franklin St,4.072.906,-7.395.779,20283,Customer,,unknown
633,2017-08-25 08:49:40.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3116,Huron St & Franklin St,4.073.266,-7.395.826,20702,Customer,,unknown
575,2016-07-02 12:49:07.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3116,Huron St & Franklin St,4.073.266,-7.395.826,16150,Customer,,unknown
465,2016-06-26 21:10:52.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3128,21 St & 43 Ave,4.075.052.534,-7.394.594.845,19705,Customer,,unknown
496,2016-08-04 21:51:36.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3127,9 St & 44 Rd,4.074.966,-739.521,23823,Customer,,unknown
303,2017-04-11 08:50:05.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3118,McGuinness Blvd & Eagle St,4.073.555,-7.395.284,26004,Customer,,unknown
870,2017-08-06 14:50:27.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3118,McGuinness Blvd & Eagle St,4.073.555,-7.395.284,30026,Customer,,unknown
288,2017-09-30 11:34:54.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3118,McGuinness Blvd & Eagle St,4.073.555,-7.395.284,16537,Customer,,unknown
1164,2017-08-07 12:01:52.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3129,Queens Plaza North & Crescent St,4.075.110.165,-7.394.073.717,16217,Customer,,unknown
841,2017-09-28 20:09:43.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3126,44 Dr & Jackson Ave,4.074.718.234,-739.432.635,15098,Customer,,unknown
1095,2018-02-20 11:06:57.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3126,44 Dr & Jackson Ave,4.074.718.234,-739.432.635,21577,Customer,1969,unknown
1034,2017-09-24 09:45:27.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3120,Center Blvd & Borden Ave,4.074.161,-7.396.044,19829,Customer,,unknown
3674,2016-09-17 15:41:33.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3120,Center Blvd & Borden Ave,4.074.161,-7.396.044,23578,Customer,,unknown
632,2017-06-12 12:51:53.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3120,Center Blvd & Borden Ave,4.074.161,-7.396.044,26330,Customer,,unknown
983,2017-10-13 16:42:25.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3120,Center Blvd & Borden Ave,4.074.161,-7.396.044,21626,Customer,1988,female
479,2017-06-24 22:22:32.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3120,Center Blvd & Borden Ave,4.074.161,-7.396.044,25432,Customer,1993,male
367,2017-09-23 01:26:28.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3121,Jackson Ave & 46 Rd,4.074.524.768,-7.394.733.276,26330,Customer,,unknown
6010,2016-07-12 02:42:42.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3121,Jackson Ave & 46 Rd,4.074.524.768,-7.394.733.276,16142,Customer,,unknown
2415,2017-04-08 15:39:39.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3119,Vernon Blvd & 50 Ave,4.074.232.744,-7.395.411.749,28161,Customer,,unknown
1293,2017-06-03 17:13:38.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3119,Vernon Blvd & 50 Ave,4.074.232.744,-7.395.411.749,17148,Customer,,unknown
1486,2017-07-21 19:19:23.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3124,46 Ave & 5 St,4.074.731,-7.395.451,19648,Customer,,unknown
5822,2017-07-12 14:30:43.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3124,46 Ave & 5 St,4.074.731,-7.395.451,21237,Customer,,unknown
469,2017-07-21 16:13:14.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3124,46 Ave & 5 St,4.074.731,-7.395.451,21234,Customer,,unknown
1002,2016-07-23 13:27:44.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3016,Kent Ave & N 7 St,4.072.036.775,-7.396.165.073,16449,Customer,,unknown
1439,2017-04-15 11:05:35.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3016,Kent Ave & N 7 St,4.072.036.775,-7.396.165.073,16989,Customer,1985,female
869,2017-06-04 21:06:34.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3108,Nassau Ave & Russell St,4.072.557,-7.394.434,27466,Customer,,unknown
1142,2018-04-14 15:37:10.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,2002,Wythe Ave & Metropolitan Ave,40.716.887,-73.963.198,19517,Customer,1969,unknown
1679,2015-11-01 00:57:46.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,18612,Customer,,unknown
6552,2017-09-12 17:54:37.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,16423,Customer,,unknown
155,2016-04-24 13:13:34.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,19469,Customer,,unknown
1716,2016-05-25 20:43:38.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,18725,Customer,,unknown
1151,2016-08-02 12:48:09.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,16584,Customer,,unknown
945,2016-05-30 18:26:40.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,14621,Customer,,unknown
1376,2018-02-21 18:23:26.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,26486,Customer,1969,unknown
1663,2016-05-12 18:54:29.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,24149,Customer,,unknown
1213,2017-07-09 13:41:26.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3142,1 Ave & E 62 St,407.612.274,-7.396.094.022,28081,Customer,,unknown
689,2017-08-16 16:26:42.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3113,Greenpoint Ave & Manhattan Ave,4.073.026,-7.395.394,28668,Customer,,unknown
748,2016-04-02 11:53:08.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3113,Greenpoint Ave & Manhattan Ave,4.073.026,-7.395.394,18679,Customer,,unknown
1010,2016-06-29 21:04:39.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3107,Bedford Ave & Nassau Ave,4.072.311.651,-7.395.212.324,15717,Customer,,unknown
1400,2016-04-22 18:40:48.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3107,Bedford Ave & Nassau Ave,4.072.311.651,-7.395.212.324,19856,Customer,,unknown
1111,2016-02-21 15:41:44.000000 UTC,3122,48 Ave & 5 St,4.074.436.329,-7.395.587.325,3107,Bedford Ave & Nassau Ave,4.072.311.651,-7.395.212.324,14941,Customer,,unknown
