data,total_viagens,crescimento_diario
2015-04-26,1,0
2015-07-19,2,0
2015-04-22,3,0
2015-05-10,4,0
2015-04-13,5,0
2015-04-17,5,0
2015-05-21,9,0
2016-02-06,15,0
2015-10-25,15,0
2016-01-22,16,0
2016-03-03,17,0
2015-08-07,17,0
2016-03-17,21,0
2016-04-08,24,0
2015-12-14,26,0
2015-12-16,26,0
2015-12-15,26,0
2016-03-10,27,0
2015-09-18,29,0
2015-10-15,32,0
2016-06-26,34,0
2015-11-05,45,0
2017-04-24,71,0
2017-11-30,100,0
2017-10-31,107,0
2015-04-27,2,1
2015-04-21,3,1
2015-04-14,6,1
2015-08-30,6,1
2016-01-18,7,1
2015-05-13,7,1
2016-01-31,8,1
2015-07-13,9,1
2015-05-22,10,1
2015-08-14,11,1
2016-01-16,18,1
2016-03-27,23,1
2015-09-03,24,1
2016-07-30,29,1
2016-07-31,30,1
2016-03-24,35,1
2016-05-19,40,1
2016-05-27,47,1
2016-06-18,47,1
2016-07-17,52,1
2016-08-26,53,1
2016-07-22,56,1
2016-08-10,68,1
2016-09-29,76,1
2018-03-20,79,1
2017-04-28,82,1
2017-05-12,98,1
2017-11-15,112,1
2018-05-02,167,1
2015-05-03,3,2
2015-04-08,5,2
2015-04-12,5,2
2015-04-23,5,2
2015-04-02,6,2
2015-04-09,7,2
2015-10-04,12,2
2015-11-22,13,2
2016-01-03,14,2
2015-09-13,15,2
2015-08-04,16,2
2015-12-21,17,2
2015-08-25,20,2
2016-02-17,20,2
2015-10-31,22,2
2015-09-28,23,2
2015-09-04,26,2
2016-03-19,27,2
2015-11-02,28,2
2015-11-12,31,2
2016-04-19,36,2
2016-07-10,42,2
2016-07-20,59,2
2016-09-12,65,2
2016-09-22,72,2
2017-07-03,81,2
2017-07-04,83,2
2018-04-11,101,2
2015-04-19,4,3
2015-04-28,5,3
2015-04-04,7,3
2015-07-29,13,3
2015-10-19,13,3
2015-05-29,14,3
2016-03-05,14,3
2016-02-08,17,3
2016-01-07,20,3
2015-11-15,20,3
2015-10-08,30,3
2017-12-27,33,3
2015-11-13,34,3
2016-06-10,53,3
2016-09-06,54,3
2018-01-11,71,3
2018-02-28,121,3
2017-09-29,125,3
2017-09-15,133,3
2015-04-01,4,4
2015-05-26,7,4
2016-02-15,7,4
2015-05-17,8,4
2015-07-12,8,4
2015-08-23,9,4
2015-11-29,12,4
2016-02-28,16,4
2015-11-18,23,4
2015-10-12,24,4
2015-11-08,25,4
2016-03-18,25,4
2015-11-01,26,4
2015-09-29,27,4
2017-12-29,27,4
2016-04-29,43,4
2016-06-01,50,4
2016-08-19,61,4
2017-08-27,90,4
2018-04-18,103,4
2018-04-19,107,4
2015-05-24,8,5
2015-05-11,9,5
2016-01-19,12,5
2015-12-26,14,5
2015-07-14,14,5
2016-02-22,18,5
2015-07-30,18,5
2015-08-28,20,5
2015-10-01,22,5
